,level_0,index,Cargas_criticas,Cargas_no_esenciales,Disponibilidad_red,Disponibilidad_generador,Disponibilidad_inversor
0,0,2022-09-29 17:30:00,4173.0376,8346.075,1.0,1.0,1.0
1,1,2022-09-29 17:45:00,4185.959,8371.918,1.0,1.0,1.0
2,2,2022-09-29 18:00:00,4185.499,8370.998,1.0,1.0,1.0
3,3,2022-09-29 18:15:00,4177.538,8355.076,1.0,1.0,1.0
4,4,2022-09-29 18:30:00,4149.903,8299.806,1.0,1.0,1.0
5,5,2022-09-29 18:45:00,4105.8286,8211.657,1.0,1.0,1.0
6,6,2022-09-29 19:00:00,4060.1895,8120.379,1.0,1.0,1.0
7,7,2022-09-29 19:15:00,3999.518,7999.036,1.0,1.0,1.0
8,8,2022-09-29 19:30:00,3941.799,7883.598,1.0,1.0,1.0
9,9,2022-09-29 19:45:00,3867.1443,7734.2886,1.0,1.0,1.0
10,10,2022-09-29 20:00:00,3804.104,7608.208,1.0,1.0,1.0
11,11,2022-09-29 20:15:00,3727.2688,7454.5376,1.0,1.0,1.0
